Temperature (K)   DeltaA (kJ/mol)
0.0                0.000000
20.0               0.000000
40.0               0.000000
60.0               0.000000
80.0               0.000000
100.0              0.000000
120.0              0.000000
140.0              0.000000
160.0              0.000000
180.0              0.000000
200.0              0.000000
220.0              0.000000
240.0              0.000000
260.0              0.000000
280.0              0.000000
300.0              0.000000
320.0              0.000000
340.0              0.000000
360.0              0.000000
380.0              0.000000
400.0              0.000000
